#Copyright 2025-26 Beta ORI Inc. Canada. All Rights Reserved 
# Author: Awase Khirni Syed 
# Jalwa On Demand Video Streaming Platform Version 1

Id	Module Name	Table Name	Description & Business Case	Primary Users
M15	Analytics & Business Intelligence	activity_log	Comprehensive audit trail for system/user activities and compliance.	Security, Compliance
M15	Analytics & Business Intelligence	user_search_histories	(Also in M05) Search trends for BI and product optimization.	Data Analysts
M15	Analytics & Business Intelligence	entertainment_views	(Also in M05) View metrics for content performance reporting.	Data Analysts
M16	Platform Configuration & Settings	settings / tbl_general_setting	System-wide key-value configuration for features, branding, and ops.	DevOps, Admins
M16	Platform Configuration & Settings	constants	Standardized enums for UI rendering, validation, and business logic.	Developers
M16	Platform Configuration & Settings	tbl_smtp_setting	Email server configuration for transactional deliverability.	DevOps, Support
M16	Platform Configuration & Settings	tbl_storage_setting	Cloud storage provider credentials (AWS, Wasabi) for asset routing.	DevOps, Infrastructure
M16	Platform Configuration & Settings	tbl_social_link	Social media platform link configurations for brand presence.	Marketing
M17	Legal, Compliance & CMS	pages / tbl_page	Static CMS pages for legal policies, terms, and brand storytelling.	Legal, Marketing
M17	Legal, Compliance & CMS	faqs	Frequently asked questions for self-service support and retention.	Support, Users
M17	Legal, Compliance & CMS	seo	SEO metadata management for organic search visibility.	Marketing, SEO Specialists
M18	File & Media Asset Management	media	Uploaded media file metadata with responsive image and conversion configs.	Content Ops, DevOps
M18	File & Media Asset Management	filemanagers	Centralized file inventory for admin content management and access control.	Admins, Content Ops
M19	Geographic & Localization Framework	languages	UI translation key-value mappings for multi-language support.	Localization, Devs
M19	Geographic & Localization Framework	states	State/province metadata for address validation and regional tax.	Finance, Logistics
M19	Geographic & Localization Framework	cities	City metadata for hyper-local targeting and address resolution.	Marketing, Logistics
M19	Geographic & Localization Framework	worlds	Advanced geographic metadata for granular territorial licensing.	Legal, Global Ops
M20	System Operations & Queue Management	jobs	Background queue jobs for async processing (transcoding, emails).	DevOps, System
M20	System Operations & Queue Management	job_batches	Grouped job execution tracking for bulk operations.	DevOps, System
M20	System Operations & Queue Management	failed_jobs	Permanently failed job logs for debugging and recovery.	DevOps, SRE
M20	System Operations & Queue Management	migrations	Database schema version control for CI/CD and deployments.	Developers, DevOps
M20	System Operations & Queue Management	sessions	Web session data for stateful interactions and security monitoring.	Security, Web Devs
M20	System Operations & Queue Management	webhook_calls	Outgoing webhook logs for third-party integration reliability.	DevOps, Integrations
M20	System Operations & Queue Management	installers	Platform installation/setup process tracking for SaaS provisioning.	DevOps, Ops
M20	System Operations & Queue Management	service_providers	Third-party vendor integration management and credential tracking.	DevOps, Partnerships
M20	System Operations & Queue Management	tbl_onboarding_screen / onboardings	First-time user experience carousel content for activation.	Product, UX
